NOME                                                                            ,MED.AVALIACOES ,QNT.AVALIACOES ,ENDERECO                                                                                                                                                              ,INF.ADICIONAIS                         ,CONTATO
DISCAR                                                                          ,"4,3"          ,(399)          ,"R. ALDA MESQUITA TEIXEIRA, 235 - COROA DO MEIO, ARACAJU - SE, 49035-810"                                                                                             ,Concessionária                         ,Contato não disponível
DESTAQUE SEMINOVOS                                                              ,"5,0"          ,(56)           ,"AV. PEDRO CALAZANS, 201 - CENTRO, ARACAJU - SE, 49010-490"                                                                                                           ,Revendedora de carros usados           ,Contato não disponível
ATLANTIC MULTIMARCAS                                                            ,"4,0"          ,(31)           ,"AV. HERMES FONTES, 728 - SUÍÇA, ARACAJU - SE, 49050-000"                                                                                                             ,Revendedora de carros usados           ,Contato não disponível
ACESSO VEÍCULOS & FINANCIAMENTOS                                                ,"4,6"          ,(73)           ,"AV. DEP. AIRTON TÉLES, 850 - SANTO ANTÔNIO, ARACAJU - SE, 49060-120"                                                                                                 ,Concessionária de veículos motorizados ,Contato não disponível
ARACAJU AUTOMOVEIS                                                              ,"4,7"          ,(9)            ,"AV. COELHO E CAMPOS, 1180 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                  ,Concessionária                         ,Contato não disponível
MICA AUTOMÓVEIS                                                                 ,"4,2"          ,(83)           ,"AVENIDA CARLOS BURLAMARQUI, 694 AVENIDA COELHO E CAMPOS, 923 AVENIDA CARLOS BURLAMARQUI, 697, AV. CARLOS BURLAMARQUI, 705 - GETÚLIO VARGAS, ARACAJU - SE, 49055-150" ,Revendedora de carros usados           ,Contato não disponível
IMPACTO VEICULOS AJU                                                            ,"5,0"          ,(1)            ,"AV. COELHO E CAMPOS, 1138 - 18 DO FORTE, ARACAJU - SE, 49060-000"                                                                                                    ,Revendedora de carros usados           ,Contato não disponível
MARVEL VEÍCULOS SEMI-NOVOS                                                      ,"4,5"          ,(22)           ,"R. MARUIM, 1749 - GETÚLIO VARGAS, ARACAJU - SE, 49055-440"                                                                                                           ,Revendedora de carros usados           ,Contato não disponível
"SAMAM FIAT MATRIZ: CARROS NOVOS, FASTBACK, CRONOS, TROCA DE ÓLEO, ARACAJU SE"  ,"4,3"          ,(700)          ,"R. BASÍLIO ROCHA, 89 - GETÚLIO VARGAS, ARACAJU - SE, 49055-110"                                                                                                      ,Concessionária da Fiat                 ,Contato não disponível
MAIS SEMINOVOS.                                                                 ,"4,8"          ,(60)           ,"AV. COELHO E CAMPOS, 894 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                   ,Revendedora de carros usados           ,Contato não disponível
A CREDI-AUTO                                                                    ,"4,5"          ,(53)           ,"AV. COELHO E CAMPOS, 130 - SANTO ANTÔNIO, ARACAJU - SE, 49055-490"                                                                                                   ,Revendedora de carros usados           ,Contato não disponível
"DNA MULTIMARCAS - CARROS E SEMINOVOS, VENDAS E COMPRA"                         ,"4,2"          ,(5)            ,"AV. ANÍSIO AZEVEDO, 681 - SALGADO FILHO, ARACAJU - SE, 49020-235"                                                                                                    ,Concessionária                         ,Contato não disponível
CABEÇÃO VEÍCULOS                                                                ,"4,4"          ,(52)           ,"AV. COELHO E CAMPOS, 1123 - CENTRO, ARACAJU - SE, 49010-720"                                                                                                         ,Concessionária                         ,Contato não disponível
REI DAS MULTIMARCAS                                                             ,"4,9"          ,(30)           ,"AV. PEDRO CALAZANS, 122 - GETÚLIO VARGAS, ARACAJU - SE, 49055-520"                                                                                                   ,Concessionária                         ,Contato não disponível
PINHEIRO VEICULOS                                                               ,"4,8"          ,(14)           ,"AV. PEDRO CALAZANS, 1136 - GETÚLIO VARGAS, ARACAJU - SE, 49055-520"                                                                                                  ,Concessionária                         ,Contato não disponível
"HONDA SERIGY RIOMAR: CARROS NOVOS, HÍBRIDO, HRV, TROCA DE ÓLEO, ARACAJU SE"    ,"4,5"          ,(89)           ,"AVENIDA LUIZ LUA GONZAGA, 303 - COROA DO MEIO, ARACAJU - SE, 49035-500"                                                                                              ,Concessionária Honda                   ,Contato não disponível
SCUDERIA VEÍCULOS                                                               ,"4,5"          ,(23)           ,"PRAÇA DA BANDEIRA, 242 - CIRURGIA, ARACAJU - SE, 49055-090"                                                                                                          ,Revendedora de carros usados           ,Contato não disponível
CHEVROLET CONTORNO RIOMAR                                                       ,"4,5"          ,(194)          ,"AVENIDA LUIZ LUA GONZAGA, 250 - COROA DO MEIO, ARACAJU - SE, 49035-810"                                                                                              ,Concessionária Chevrolet               ,Contato não disponível
REPASSE GAÚCHO - VEÍCULOS SEMINOVOS - ARACAJU                                   ,"4,3"          ,(19)           ,"AV. SÃO PAULO, 200 - 18 DO FORTE, ARACAJU - SE, 49075-530"                                                                                                           ,Agente comercial de carros             ,Contato não disponível
"HONDA SERIGY MATRIZ: CARROS NOVOS, HÍBRIDO, HRV, TROCA DE ÓLEO, ARACAJU SE"    ,"4,2"          ,(381)          ,"R. SÃO CRISTÓVÃO, 1960 - GETÚLIO VARGAS, ARACAJU - SE, 49055-620"                                                                                                    ,Concessionária Honda                   ,Contato não disponível
FENIX VEICULOS AJU                                                              ,"4,6"          ,(60)           ,"AV. PEDRO CALAZANS, 68 - SANTO ANTÔNIO, ARACAJU - SE, 49060-210"                                                                                                     ,Concessionária de veículos motorizados ,Contato não disponível
CHEVROLET CONTORNO ARACAJU                                                      ,"4,4"          ,(1.395)        ,"AV. PRES. TANCREDO NEVES, 1550 - JARDINS, ARACAJU - SE, 49025-620"                                                                                                   ,Concessionária Chevrolet               ,Contato não disponível
CHEVROLET CONTORNO ARACAJU                                                      ,"4,4"          ,(1.395)        ,"AV. PRES. TANCREDO NEVES, 1550 - JARDINS, ARACAJU - SE, 49025-620"                                                                                                   ,Concessionária Chevrolet               ,Contato não disponível
CHEVROLET CONTORNO ARACAJU                                                      ,"4,4"          ,(1.395)        ,"AV. PRES. TANCREDO NEVES, 1550 - JARDINS, ARACAJU - SE, 49025-620"                                                                                                   ,Concessionária Chevrolet               ,Contato não disponível
CHEVROLET CONTORNO ARACAJU                                                      ,"4,4"          ,(1.395)        ,"AV. PRES. TANCREDO NEVES, 1550 - JARDINS, ARACAJU - SE, 49025-620"                                                                                                   ,Concessionária Chevrolet               ,Contato não disponível
CHEVROLET CONTORNO ARACAJU                                                      ,"4,4"          ,(1.395)        ,"AV. PRES. TANCREDO NEVES, 1550 - JARDINS, ARACAJU - SE, 49025-620"                                                                                                   ,Concessionária Chevrolet               ,Contato não disponível
CHEVROLET CONTORNO ARACAJU                                                      ,"4,4"          ,(1.395)        ,"AV. PRES. TANCREDO NEVES, 1550 - JARDINS, ARACAJU - SE, 49025-620"                                                                                                   ,Concessionária Chevrolet               ,Contato não disponível
CHEVROLET CONTORNO ARACAJU                                                      ,"4,4"          ,(1.395)        ,"AV. PRES. TANCREDO NEVES, 1550 - JARDINS, ARACAJU - SE, 49025-620"                                                                                                   ,Concessionária Chevrolet               ,Contato não disponível
CHEVROLET CONTORNO ARACAJU                                                      ,"4,4"          ,(1.395)        ,"AV. PRES. TANCREDO NEVES, 1550 - JARDINS, ARACAJU - SE, 49025-620"                                                                                                   ,Concessionária Chevrolet               ,Contato não disponível
CHEVROLET CONTORNO ARACAJU                                                      ,"4,4"          ,(1.395)        ,"AV. PRES. TANCREDO NEVES, 1550 - JARDINS, ARACAJU - SE, 49025-620"                                                                                                   ,Concessionária Chevrolet               ,Contato não disponível
CHEVROLET CONTORNO ARACAJU                                                      ,"4,4"          ,(1.395)        ,"AV. PRES. TANCREDO NEVES, 1550 - JARDINS, ARACAJU - SE, 49025-620"                                                                                                   ,Concessionária Chevrolet               ,Contato não disponível
CHEVROLET CONTORNO ARACAJU                                                      ,"4,4"          ,(1.395)        ,"AV. PRES. TANCREDO NEVES, 1550 - JARDINS, ARACAJU - SE, 49025-620"                                                                                                   ,Concessionária Chevrolet               ,Contato não disponível
CHEVROLET CONTORNO ARACAJU                                                      ,"4,4"          ,(1.395)        ,"AV. PRES. TANCREDO NEVES, 1550 - JARDINS, ARACAJU - SE, 49025-620"                                                                                                   ,Concessionária Chevrolet               ,Contato não disponível
CHEVROLET CONTORNO ARACAJU                                                      ,"4,4"          ,(1.395)        ,"AV. PRES. TANCREDO NEVES, 1550 - JARDINS, ARACAJU - SE, 49025-620"                                                                                                   ,Concessionária Chevrolet               ,Contato não disponível
CHEVROLET CONTORNO ARACAJU                                                      ,"4,4"          ,(1.395)        ,"AV. PRES. TANCREDO NEVES, 1550 - JARDINS, ARACAJU - SE, 49025-620"                                                                                                   ,Concessionária Chevrolet               ,Contato não disponível
